id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
53285	mariani l.	1.042	-0.4061	3	10	27	32	655	73.5464	2013.9062	20.4688	2.2983
53356	marinov d.	0.4769	-0.0515	8	18	76	63	1969	223.3969	2013.4286	31.254	3.546
54032	masri w.	0.1748	1.2028	5	2	7	27	361	31.3836	2011.2963	13.3704	1.1624
54211	mathur a.p.	0.3727	0.6653	7	7	10	20	713	58.5657	1998.1	35.65	2.9283
55109	mcminn p.	0.7173	-0.1653	3	19	72	52	1837	226.0842	2014.2885	35.3269	4.3478
55285	medina-bulo i.	0.5153	-0.4861	3	1	5	30	213	43.4301	2015.9	7.1	1.4477
55405	mei h.	0.1819	0.0009	8	18	52	20	789	79.1904	2010.9	39.45	3.9595
55643	memon a.	0.4625	0.0663	6	7	18	50	1665	179.4686	2012.16	33.3	3.5894
55900	merkel r.	-0.3333	-1.0261	12	7	26	23	316	30.8034	2010.6957	13.7391	1.3393
55967	mesbah a.	0.8925	-0.4583	2	6	13	24	513	73.3624	2015	21.375	3.0568
56151	miao h.	-1.1077	0.1464	1	14	30	23	127	28.5441	2012.7391	5.5217	1.241
56525	miller j.	0.3553	-0.2596	5	4	8	27	420	38.6315	2007.963	15.5556	1.4308
57345	mohapatra d.p.	0.341	0.99	7	2	3	52	221	37.6934	2015.0385	4.25	0.7249
57645	monperrus m.	0.4701	-0.13	2	6	15	28	470	120.6367	2017.0357	16.7857	4.3085
59350	mäntylä m.v.	0.6547	-0.6866	2	5	9	22	626	84.4164	2014.0909	28.4545	3.8371
59490	nadeem a.	0.3603	-0.7176	2	1	1	37	183	26.978	2013.4054	4.9459	0.7291
61083	nie c.	-0.0018	-0.2514	6	30	58	29	726	82.0276	2011	25.0345	2.8285
62288	offutt j.	0.5926	0.3453	11	16	57	72	2417	228.4794	2011.125	33.5694	3.1733
62464	okamura h.	-0.892	0.8336	13	5	36	29	241	22.3873	2012.1724	8.3103	0.772
63042	orso a.	0.4531	0.27	5	15	38	53	2018	215.2388	2011.6792	38.0755	4.0611
63217	ostrand t.j.	1.1919	-0.8829	2	3	28	21	1526	110.504	2007.9524	72.6667	5.2621
63747	paiva a.c.r.	0.6009	0.1744	6	3	3	25	166	38.2917	2015.64	6.64	1.5317
64102	panichella a.	1.311	-0.4907	2	7	28	32	485	91.3671	2017.0625	15.1562	2.8552
64192	papadakis m.	1.1588	-0.0414	2	12	65	50	1142	205.0881	2014.86	22.84	4.1018
64422	park j.	0.1938	0.5585	5	11	16	23	67	12.0686	2014.7826	2.913	0.5247
64450	park s.	0.1951	0.4168	5	16	25	29	844	84.299	2013.2414	29.1034	2.9069
64743	pastore f.	0.9866	-0.4604	3	6	28	22	343	44.3644	2014.9545	15.5909	2.0166
64899	pattabiraman k.	0.7778	-0.429	2	3	14	21	253	41.364	2016	12.0476	1.9697
